position,mlu,style,tempo,performer,division,division_follower,division_bigram,pattern,follower,bigram
24,lick,POSTBOP,UP,Herbie Hancock,4,3,[4|3],110,11,[0110|011]
25,lick,POSTBOP,UP,Herbie Hancock,3,1,[3|1],11,1,[011|1]
26,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
27,lick,POSTBOP,UP,Herbie Hancock,2,3,[2|3],11,111,[11|111]
28,lick,POSTBOP,UP,Herbie Hancock,3,3,[3|3],111,11,[111|011]
29,lick,POSTBOP,UP,Herbie Hancock,3,0,[3|0],11,0,[011|0]
1,line,POSTBOP,UP,Herbie Hancock,1,4,[1|4],1,1001,[1|1001]
2,line,POSTBOP,UP,Herbie Hancock,4,4,[4|4],1001,1101,[1001|1101]
3,line,POSTBOP,UP,Herbie Hancock,4,3,[4|3],1101,11,[1101|011]
4,line,POSTBOP,UP,Herbie Hancock,3,2,[3|2],11,11,[011|11]
5,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
6,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
7,line,POSTBOP,UP,Herbie Hancock,2,0,[2|0],11,0,[11|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
2,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
3,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
4,lick,POSTBOP,UP,Herbie Hancock,1,4,[1|4],1,1001,[1|1001]
5,lick,POSTBOP,UP,Herbie Hancock,4,2,[4|2],1001,11,[1001|11]
6,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
7,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
8,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
9,lick,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,UP,Herbie Hancock,1,4,[1|4],1,1,[1|0001]
2,lick,POSTBOP,UP,Herbie Hancock,4,1,[4|1],1,1,[0001|1]
3,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
4,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
5,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
6,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
7,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
8,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
9,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
10,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
11,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
12,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
13,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
14,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
15,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
16,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
17,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
18,lick,POSTBOP,UP,Herbie Hancock,2,0,[2|0],11,0,[11|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,3,[2|3],1,11,[01|011]
2,lick,POSTBOP,UP,Herbie Hancock,3,4,[3|4],11,1,[011|0001]
3,lick,POSTBOP,UP,Herbie Hancock,4,2,[4|2],1,1,[0001|01]
4,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
5,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
6,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
7,lick,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
2,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
4,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
5,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
6,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
7,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
8,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
9,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
10,lick,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,4,[2|4],1,1,[01|0001]
2,lick,POSTBOP,UP,Herbie Hancock,4,2,[4|2],1,1,[0001|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
4,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
5,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
6,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
7,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
8,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
9,lick,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
2,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
4,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
5,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
6,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
7,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
8,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
9,lick,POSTBOP,UP,Herbie Hancock,2,0,[2|0],11,0,[11|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
4,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
5,lick,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
3,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
5,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
6,line,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
7,line,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
2,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
4,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
5,lick,POSTBOP,UP,Herbie Hancock,2,4,[2|4],1,1,[01|0001]
6,lick,POSTBOP,UP,Herbie Hancock,4,1,[4|1],1,1,[0001|1]
7,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
8,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
9,lick,POSTBOP,UP,Herbie Hancock,1,3,[1|3],1,111,[1|111]
10,lick,POSTBOP,UP,Herbie Hancock,3,2,[3|2],111,11,[111|11]
11,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
12,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
13,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
14,lick,POSTBOP,UP,Herbie Hancock,2,3,[2|3],11,11,[11|011]
15,lick,POSTBOP,UP,Herbie Hancock,3,2,[3|2],11,11,[011|11]
16,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
17,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
18,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
19,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
20,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
21,lick,POSTBOP,UP,Herbie Hancock,1,4,[1|4],1,1101,[1|1101]
22,lick,POSTBOP,UP,Herbie Hancock,4,3,[4|3],1101,111,[1101|111]
23,lick,POSTBOP,UP,Herbie Hancock,3,3,[3|3],111,11,[111|011]
24,lick,POSTBOP,UP,Herbie Hancock,3,1,[3|1],11,1,[011|1]
25,lick,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,line,POSTBOP,UP,Herbie Hancock,4,2,[4|2],11,11,[0011|11]
2,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
3,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
5,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
6,line,POSTBOP,UP,Herbie Hancock,2,0,[2|0],11,0,[11|0]
1,lick,POSTBOP,UP,Herbie Hancock,4,1,[4|1],1,1,[0001|1]
2,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
4,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
5,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
6,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
7,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
8,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
9,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
10,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
11,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
12,lick,POSTBOP,UP,Herbie Hancock,2,4,[2|4],1,1,[01|0001]
13,lick,POSTBOP,UP,Herbie Hancock,4,2,[4|2],1,1,[0001|01]
14,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
15,lick,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
3,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
5,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
6,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
7,line,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
8,line,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
3,line,POSTBOP,UP,Herbie Hancock,2,3,[2|3],11,110,[11|110]
4,line,POSTBOP,UP,Herbie Hancock,3,2,[3|2],110,11,[110|11]
5,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
6,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
7,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
8,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
9,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
10,line,POSTBOP,UP,Herbie Hancock,1,4,[1|4],1,1011,[1|1011]
11,line,POSTBOP,UP,Herbie Hancock,4,1,[4|1],1011,1,[1011|1]
12,line,POSTBOP,UP,Herbie Hancock,1,3,[1|3],1,111,[1|111]
13,line,POSTBOP,UP,Herbie Hancock,3,1,[3|1],111,1,[111|1]
14,line,POSTBOP,UP,Herbie Hancock,1,4,[1|4],1,1011,[1|1011]
15,line,POSTBOP,UP,Herbie Hancock,4,1,[4|1],1011,1,[1011|1]
16,line,POSTBOP,UP,Herbie Hancock,1,4,[1|4],1,1011,[1|1011]
17,line,POSTBOP,UP,Herbie Hancock,4,1,[4|1],1011,1,[1011|1]
18,line,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
19,line,POSTBOP,UP,Herbie Hancock,2,3,[2|3],1,11,[01|011]
20,line,POSTBOP,UP,Herbie Hancock,3,2,[3|2],11,11,[011|11]
21,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
22,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
23,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
24,line,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
3,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
4,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
5,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
6,lick,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
2,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
3,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
5,line,POSTBOP,UP,Herbie Hancock,2,0,[2|0],1,0,[01|0]
1,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
3,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
5,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
6,line,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
4,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
5,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
6,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
7,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
8,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
9,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
10,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
11,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
12,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
13,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
14,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
15,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
16,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
17,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
18,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
19,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
20,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
21,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
22,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
23,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
24,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
25,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
26,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
27,lick,POSTBOP,UP,Herbie Hancock,2,0,[2|0],1,0,[01|0]
1,line,POSTBOP,UP,Herbie Hancock,4,2,[4|2],11,11,[0011|11]
2,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
3,line,POSTBOP,UP,Herbie Hancock,2,4,[2|4],11,1001,[11|1001]
4,line,POSTBOP,UP,Herbie Hancock,4,2,[4|2],1001,11,[1001|11]
5,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
6,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
7,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
8,line,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
9,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
10,line,POSTBOP,UP,Herbie Hancock,2,0,[2|0],1,0,[01|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,3,[2|3],1,111,[01|111]
2,lick,POSTBOP,UP,Herbie Hancock,3,2,[3|2],111,1,[111|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
4,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
5,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
6,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
7,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
8,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
9,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
10,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
11,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
12,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
13,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
14,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
15,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
16,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
17,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
18,lick,POSTBOP,UP,Herbie Hancock,2,0,[2|0],11,0,[11|0]
1,line,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
2,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
3,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
5,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
6,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
7,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
8,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
9,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
10,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
11,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
12,line,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
13,line,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
14,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
15,line,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
16,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
17,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
18,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
19,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
20,line,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
21,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
22,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
23,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
24,line,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
25,line,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],11,1,[11|1]
3,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,1,[1|01]
4,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
5,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
6,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
7,lick,POSTBOP,UP,Herbie Hancock,2,3,[2|3],11,11,[11|011]
8,lick,POSTBOP,UP,Herbie Hancock,3,2,[3|2],11,11,[011|11]
9,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
10,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
11,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
12,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
13,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
14,lick,POSTBOP,UP,Herbie Hancock,2,0,[2|0],11,0,[11|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
2,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
4,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
5,lick,POSTBOP,UP,Herbie Hancock,1,2,[1|2],1,11,[1|11]
6,lick,POSTBOP,UP,Herbie Hancock,2,0,[2|0],11,0,[11|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
4,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
5,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
6,lick,POSTBOP,UP,Herbie Hancock,1,0,[1|0],1,0,[1|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
2,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
3,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
4,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
5,lick,POSTBOP,UP,Herbie Hancock,2,0,[2|0],11,0,[11|0]
1,line,POSTBOP,UP,Herbie Hancock,3,2,[3|2],11,1,[011|01]
2,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
3,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
4,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
5,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
6,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
7,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
8,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
9,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
10,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
11,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
12,line,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,11,[11|11]
13,line,POSTBOP,UP,Herbie Hancock,2,3,[2|3],11,11,[11|011]
14,line,POSTBOP,UP,Herbie Hancock,3,2,[3|2],11,11,[011|11]
15,line,POSTBOP,UP,Herbie Hancock,2,0,[2|0],11,0,[11|0]
1,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
2,lick,POSTBOP,UP,Herbie Hancock,1,1,[1|1],1,1,[1|1]
3,lick,POSTBOP,UP,Herbie Hancock,1,4,[1|4],1,1,[1|0001]
4,lick,POSTBOP,UP,Herbie Hancock,4,4,[4|4],1,1001,[0001|1001]
5,lick,POSTBOP,UP,Herbie Hancock,4,4,[4|4],1001,11,[1001|0011]
6,lick,POSTBOP,UP,Herbie Hancock,4,2,[4|2],11,1,[0011|01]
7,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,1,[01|01]
8,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
9,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
10,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],1,11,[01|11]
11,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
12,lick,POSTBOP,UP,Herbie Hancock,2,1,[2|1],1,1,[01|1]
13,lick,POSTBOP,UP,Herbie Hancock,1,4,[1|4],1,1001,[1|1001]
14,lick,POSTBOP,UP,Herbie Hancock,4,2,[4|2],1001,11,[1001|11]
15,lick,POSTBOP,UP,Herbie Hancock,2,2,[2|2],11,1,[11|01]
16,lick,POSTBOP,UP,Herbie Hancock,2,4,[2|4],1,1001,[01|1001]
17,lick,POSTBOP,UP,Herbie Hancock,4,2,[4|2],1001,1,[1001|01]
