id;mlu;style;tempo;performer;feel;barsspan;startbar;startbeat;endbar;endbeat;notes;length;divisions;subrhythm
2783;lick;-;UP;Woody Shaw;-;-;-;-;-;-;6;3;4,4,2;0001,1011,11
2784;lick;-;MEDIUM;Zoot Sims;-;-;-;-;-;-;5;5;2,2,1,4,2;01,01,1,0001,01
2785;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;7;5;2,2,2,2,1;01,11,11,01,1
2786;lick;-;MEDIUM;Cannonball Adderley;-;-;-;-;-;-;19;9;2,2,4,1,2,3,2,3,2;11,11,1011,1,11,111,01,111,11
2787;lick;-;UP;Pat Metheny;-;-;-;-;-;-;8;6;4,4,2,4,2,2;1001,0001,01,0001,01,11
2788;lick;-;MEDIUM;Steve Turre;-;-;-;-;-;-;8;4;2,2,3,3;01,01,111,111
2789;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;49;16;4,3,4,6,4,4,4,4,4,4,4,4,4,4,4,4;0011,111,1111,010111,1111,1110,1011,1111,1110,0001,1111,1111,1111,0011,0111,0001
2790;line;-;UP;Dizzy Gillespie;-;-;-;-;-;-;16;8;2,2,6,2,2,2,3,2;11,01,011110,01,11,11,011,11
2791;lick;-;MEDIUM UP;Sonny Rollins;-;-;-;-;-;-;6;6;1,1,1,1,2,1;1,1,1,1,01,1
2792;lick;-;MEDIUM UP;Freddie Hubbard;-;-;-;-;-;-;9;6;2,2,4,2,2,1;11,01,0011,01,11,1
2793;lick;-;UP;Woody Shaw;-;-;-;-;-;-;28;19;1,1,1,1,2,3,2,2,2,2,2,1,2,3,4,2,2,1,1;1,1,1,1,11,011,01,11,11,11,11,1,11,011,0011,01,01,1,1
2794;lick;-;MEDIUM;Steve Turre;-;-;-;-;-;-;3;2;6,2;010001,01
2795;lick;-;MEDIUM;J.J. Johnson;-;-;-;-;-;-;16;6;2,6,6,7,4,2;11,000111,000111,0011011,1110,01
2796;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;38;24;2,2,2,2,2,1,3,2,2,3,3,3,4,1,1,1,2,2,1,3,3,2,2,2;11,01,11,01,01,1,111,11,01,011,110,110,0001,1,1,1,01,11,1,011,111,11,01,11
2797;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;23;13;2,2,3,2,2,2,2,2,1,2,2,2,3;11,01,011,01,11,11,11,11,1,11,11,11,011
2798;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;2;4,2;0110,11
2799;line;-;UP;Lee Konitz;-;-;-;-;-;-;21;11;2,2,2,2,2,2,2,1,4,4,4;11,11,11,01,01,11,11,1,1001,1101,0111
2800;line;-;UP;Wayne Shorter;-;-;-;-;-;-;10;6;4,2,2,2,2,2;0011,01,11,01,11,11
2801;line;-;UP;David Liebman;-;-;-;-;-;-;8;4;2,2,2,4;11,01,11,1011
2802;lick;-;UP;Art Pepper;-;-;-;-;-;-;12;8;5,2,2,2,2,1,4,4;00011,11,01,01,01,1,0001,1011
2803;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;16;7;6,1,1,4,1,4,1,4;011111,1,0,0111,0,1111,0,0111
2804;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;3;2;1,4;1,1001
2805;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;12;7;2,4,2,2,1,4,4;11,1001,11,01,1,1001,1001
2806;line;-;MEDIUM;Steve Lacy;-;-;-;-;-;-;16;5;4,3,4,4,4;0111,110,0111,1111,1111
2807;line;-;UP;John Coltrane;-;-;-;-;-;-;15;9;3,2,3,2,2,1,2,2,2;011,01,011,11,11,1,11,11,01
2808;lick;-;UP;John Coltrane;-;-;-;-;-;-;10;5;6,4,4,2,2;100001,0111,1001,11,01
2809;line;-;UP;Cannonball Adderley;-;-;-;-;-;-;9;5;2,2,2,1,2;11,11,11,1,11
2810;line;-;MEDIUM UP;Sonny Rollins;-;-;-;-;-;-;12;7;3,4,2,2,1,1,2;011,1101,11,01,1,1,11
2811;lick;-;MEDIUM UP;Sonny Rollins;-;-;-;-;-;-;14;6;4,1,4,2,2,2;1111,1,1111,11,11,01
2812;lick;-;UP;Gerry Mulligan;-;-;-;-;-;-;40;27;2,2,2,2,2,2,1,1,2,2,2,2,3,1,1,1,2,3,2,4,1,1,2,4,2,1,2;11,01,01,11,11,11,1,1,11,01,11,01,110,1,1,1,11,111,11,0001,1,1,01,1001,01,1,11
2813;line;-;MEDIUM UP;Eric Dolphy;-;-;-;-;-;-;8;3;4,2,4;1111,01,1011
2814;line;-;UP;Joe Lovano;-;-;-;-;-;-;17;7;4,2,2,2,6,2,1;1110,11,11,11,111101,11,1
2815;line;-;MEDIUM UP;Sonny Rollins;-;-;-;-;-;-;32;15;2,2,2,2,6,2,2,3,2,4,2,2,3,2,2;11,11,11,11,110101,01,11,111,11,1101,11,11,011,11,01
2816;line;-;MEDIUM UP;Charlie Parker;-;-;-;-;-;-;7;3;4,1,2;1111,1,11
2817;lick;-;UP;Nat Adderley;-;-;-;-;-;-;8;6;1,4,4,1,1,4;1,1001,0001,1,1,1001
2818;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;22;12;2,2,4,2,2,2,2,2,2,4,4,1;11,11,0110,11,11,11,11,01,11,0001,1011,1
2819;lick;-;UP;John Coltrane;-;-;-;-;-;-;6;4;1,2,2,2;1,11,01,11
2820;lick;-;UP;Gerry Mulligan;-;-;-;-;-;-;62;34;1,1,1,2,2,4,2,2,1,1,2,2,4,2,1,3,2,2,2,2,4,1,2,2,3,3,2,1,2,2,2,2,2,2;1,1,1,01,11,1011,11,11,1,1,11,11,1011,11,1,111,11,11,11,11,1100,1,11,11,111,110,01,1,11,11,11,11,11,11
2821;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;25;16;2,2,2,1,2,2,1,2,2,2,2,1,2,4,1,4;11,11,11,1,01,11,1,11,01,11,11,1,11,1001,1,0001
2822;lick;-;MEDIUM;Joshua Redman;-;-;-;-;-;-;6;3;2,2,2;11,11,11
2823;lick;-;UP;Pat Metheny;-;-;-;-;-;-;22;15;2,2,2,3,2,2,2,2,2,2,2,2,2,1,1;01,01,11,011,11,11,01,01,11,11,01,11,01,1,1
2824;lick;-;UP;Pat Metheny;-;-;-;-;-;-;58;40;2,2,2,2,2,4,2,2,2,2,1,1,1,1,2,1,1,1,4,2,4,2,2,2,4,2,3,2,2,2,1,1,1,2,2,3,1,1,1,1;11,11,01,01,11,0001,11,11,11,01,1,1,1,1,11,1,1,1,0001,01,0001,11,11,11,1011,11,111,01,01,11,1,1,1,01,11,011,1,1,1,1
2825;lick;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;8;6;1,1,1,4,8,2;1,1,1,0001,10000011,01
2826;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;5;2;6,1;101011,1
2827;line;-;MEDIUM;Joshua Redman;-;-;-;-;-;-;40;19;4,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1;1111,0111,1111,1111,0111,0111,1111,111,110,1,1,1,1,1,1,1,1,1,1
2828;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;2;2,2;11,11
2829;lick;-;UP;Miles Davis;-;-;-;-;-;-;15;13;2,2,1,2,2,1,1,1,1,1,1,2,1;11,11,1,01,01,1,1,1,1,1,1,01,1
2830;line;-;UP;David Liebman;-;-;-;-;-;-;5;3;2,2,2;01,11,11
2831;line;-;UP;David Liebman;-;-;-;-;-;-;6;4;2,2,2,2;01,01,11,11
2832;line;-;MEDIUM;Eric Dolphy;-;-;-;-;-;-;37;10;8,6,4,5,4,6,3,6,1,3;10100111,101011,1111,11111,1111,111101,110,111101,1,011
2833;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;6;6;1,1,1,1,1,1;1,1,1,1,1,1
2834;line;-;MEDIUM;John Coltrane;-;-;-;-;-;-;55;14;5,4,4,4,4,8,6,6,6,6,1,6,6,4;01111,1111,1001,1111,1111,00011011,101111,111111,111011,101111,1,011111,011011,0011
2835;line;-;UP;Paul Desmond;-;-;-;-;-;-;26;16;4,2,2,2,1,1,1,4,2,2,2,2,1,1,2,2;1001,11,11,11,1,1,1,1011,11,01,01,11,1,1,11,11
2836;line;-;MEDIUM;Joe Lovano;-;-;-;-;-;-;28;12;3,3,1,1,3,1,8,1,4,1,6,1,5;111,111,1,0,111,0,01111110,0,1111,0,011011,0,01111
2837;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;17;10;4,1,4,1,1,4,2,1,2,4;1110,1,0001,1,1,1110,11,1,01,0111
2838;lick;-;UP;Chris Potter;-;-;-;-;-;-;2;2;2,4;01,0001
2839;lick;-;UP;John Coltrane;-;-;-;-;-;-;17;10;2,2,2,2,2,2,2,2,1,2;01,11,11,11,11,01,11,11,1,11
2840;line;-;UP;Art Pepper;-;-;-;-;-;-;6;3;2,4,2;11,0011,11
2841;lick;-;UP;Bob Berg;-;-;-;-;-;-;2;2;1,1;1,1
2842;lick;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;8;2;4,4;1111,1111
2843;lick;-;UP;Bob Berg;-;-;-;-;-;-;5;3;2,3,1;01,111,1
2844;lick;-;MEDIUM;Stan Getz;-;-;-;-;-;-;16;8;2,3,3,3,2,2,4,4;11,111,111,111,01,01,0001,1001
2845;line;-;MEDIUM;Gerry Mulligan;-;-;-;-;-;-;25;11;1,4,6,4,4,1,2,2,2,2,2;1,1011,011011,1110,1011,1,11,11,11,11,11
2846;lick;-;UP;Woody Shaw;-;-;-;-;-;-;8;4;2,8,2,2;11,00000011,11,11
2847;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;12;9;2,4,2,2,1,3,2,1,2;01,0001,11,11,1,011,01,1,01
2848;lick;-;UP;Red Garland;-;-;-;-;-;-;5;3;2,2,1;11,11,1
2849;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;8;5;4,1,1,2,5;0001,1,1,01,10111
2850;line;-;UP;Charlie Parker;-;-;-;-;-;-;18;11;2,3,2,2,2,1,2,2,4,1,1;11,011,11,01,11,1,11,11,1001,1,1
2851;line;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;25;7;5,6,3,4,5,3,6;01111,100101,111,1111,11111,011,011011
2852;line;-;UP;Steve Coleman;-;-;-;-;-;-;17;10;2,2,2,2,2,2,2,2,2,2;01,11,11,11,11,11,01,11,01,11
2853;line;-;UP;John Coltrane;-;-;-;-;-;-;15;9;1,2,3,2,1,2,2,2,4;1,11,011,11,1,11,11,01,1100
2854;line;-;UP;Steve Turre;-;-;-;-;-;-;18;12;2,1,2,2,1,2,2,2,1,2,2,2;01,1,11,11,1,11,11,01,1,11,01,11
2855;lick;-;UP;Paul Desmond;-;-;-;-;-;-;17;11;2,1,1,2,4,4,2,2,2,2,2;01,1,1,11,1001,0001,11,01,11,11,11
2856;lick;-;UP;Miles Davis;-;-;-;-;-;-;5;4;2,2,2,1;01,11,01,1
2857;lick;-;UP;Sonny Rollins;-;-;-;-;-;-;22;16;6,1,1,1,1,4,2,2,1,1,1,4,2,2,2,1;100001,1,1,1,1,1001,11,01,1,1,1,1100,11,11,01,1
2858;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;4;4;1,1,1,1;1,1,1,1
2859;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;3;2;2,2;01,11
2860;line;-;UP;Charlie Parker;-;-;-;-;-;-;12;6;2,4,4,2,2,1;11,1011,1101,01,11,1
2861;line;-;MEDIUM;Steve Turre;-;-;-;-;-;-;45;19;5,3,2,5,2,4,6,5,4,1,8,4,6,3,1,2,3,4,6;01011,011,01,01111,11,0011,010001,10111,0110,1,00000011,0011,101101,111,1,11,011,0111,100101
2862;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;12;8;2,1,4,2,4,2,2,1;11,1,0001,11,1001,01,11,1
2863;lick;-;MEDIUM;Curtis Fuller;-;-;-;-;-;-;1;1;1;1
2864;line;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;24;10;1,4,2,4,3,2,1,4,2,2;1,0111,11,1111,111,11,1,1111,11,11
2865;lick;-;UP;Chet Baker;-;-;-;-;-;-;19;14;1,2,1,2,1,4,2,3,2,2,2,2,2,2;1,11,1,01,1,1001,01,111,01,01,01,01,01,11
2866;line;-;MEDIUM;Miles Davis;-;-;-;-;-;-;8;4;5,4,2,2;01111,0001,11,01
2867;line;-;UP;John Coltrane;-;-;-;-;-;-;18;9;3,2,2,2,3,2,2,2,2;111,01,11,11,011,11,11,11,11
2868;lick;-;MEDIUM;Wayne Shorter;-;-;-;-;-;-;15;8;4,4,2,1,1,3,2,4;0011,0011,11,1,1,110,01,1111
2869;line;-;UP;Bob Berg;-;-;-;-;-;-;28;15;1,4,2,2,4,3,2,2,1,4,2,2,2,2,1;1,0001,11,11,1101,110,11,11,1,1111,11,11,11,01,1
2870;line;-;UP;Steve Lacy;-;-;-;-;-;-;62;32;4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,6,1,1,3,1,3,4,2,2;0001,1011,11,11,11,11,11,11,11,11,01,11,11,11,11,11,11,11,11,11,1,11,11,110111,1,1,011,1,110,1100,11,11
2871;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;38;13;4,4,4,4,4,4,3,4,4,4,4,4,4;1110,0001,1111,1111,1001,1101,111,0111,0001,1111,1111,0111,0111
2872;lick;-;MEDIUM;Lee Konitz;-;-;-;-;-;-;71;28;4,4,2,2,2,2,4,4,4,4,4,2,5,2,4,4,4,2,2,4,4,4,4,4,3,4,4,2;1111,0001,11,11,11,01,1001,0001,1011,0001,1111,11,10111,11,1111,1111,1111,11,11,1111,1111,0011,1001,0001,111,0111,1011,11
2873;line;-;UP;J.J. Johnson;-;-;-;-;-;-;14;9;1,2,1,2,2,4,2,2,2;1,11,1,01,11,1001,11,01,11
2874;lick;-;UP;Fats Navarro;-;-;-;-;-;-;61;34;1,2,1,2,2,2,2,2,1,1,1,1,1,3,2,4,2,4,2,2,2,2,2,4,2,2,2,2,5,5,3,4,2,1;1,01,1,11,01,01,01,11,1,1,1,1,1,111,01,0111,01,0011,01,11,11,11,11,1011,11,11,11,11,01111,11111,111,0011,01,1
2875;line;-;UP;John Coltrane;-;-;-;-;-;-;49;23;3,1,2,2,2,1,2,3,1,4,2,2,3,4,5,3,3,4,2,2,3,4,2;111,1,11,11,11,1,11,011,1,1111,01,11,011,1001,01111,111,011,1100,11,01,111,1110,11
2876;line;-;MEDIUM;Woody Shaw;-;-;-;-;-;-;26;7;8,4,3,4,4,4,6;11111111,1001,111,1100,1111,1100,111110
2877;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;5;4;2,1,8,1;11,1,00000001,1
2878;lick;-;UP;John Coltrane;-;-;-;-;-;-;6;3;2,4,2;01,1011,11
2879;lick;-;UP;Steve Coleman;-;-;-;-;-;-;7;3;2,4,2;11,1011,11
2880;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;20;14;4,2,1,2,1,2,4,2,4,2,2,1,1,2;0001,11,1,01,1,11,1011,11,0001,01,11,1,1,01
2881;line;-;MEDIUM;Miles Davis;-;-;-;-;-;-;9;4;4,6,2,2;0001,110111,01,11
2882;line;-;MEDIUM;Eric Dolphy;-;-;-;-;-;-;25;7;4,6,3,4,4,4,4;0111,011011,111,1111,1111,1110,1111
2883;lick;-;UP;Wynton Marsalis;-;-;-;-;-;-;7;5;2,1,2,1,1;11,1,11,1,1
2884;lick;-;UP;Pepper Adams;-;-;-;-;-;-;6;4;3,1,4,2;110,1,1001,01
2885;line;-;MEDIUM SLOW;Steve Lacy;-;-;-;-;-;-;17;7;4,2,3,3,4,2,3;1001,11,011,111,0111,11,111
2886;line;-;UP;Joe Lovano;-;-;-;-;-;-;30;13;2,3,1,3,2,4,4,4,2,2,4,2,3;11,111,1,111,11,1001,1101,1101,11,11,1101,11,110
2887;line;-;UP;Steve Coleman;-;-;-;-;-;-;11;6;2,1,4,2,2,3;01,1,0111,11,11,011
2888;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;18;4;6,6,6,6;011100,111111,010111,011111
2889;line;-;MEDIUM UP;Paul Desmond;-;-;-;-;-;-;8;6;2,2,2,2,2,2;01,01,01,11,11,01
2890;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;5;5;1,1,1,1,1;1,1,1,1,1
2891;lick;-;UP;David Liebman;-;-;-;-;-;-;7;5;4,2,1,1,1;0011,11,1,1,1
2892;lick;-;UP;Stan Getz;-;-;-;-;-;-;7;5;3,1,1,1,2;111,1,1,1,01
2893;line;-;MEDIUM;Kenny Wheeler;-;-;-;-;-;-;16;11;6,4,1,1,1,1,1,1,1,1,1;101101,0111,1,1,1,1,1,1,1,1,1
2894;line;-;UP;Charlie Parker;-;-;-;-;-;-;47;23;4,2,4,2,2,4,2,2,2,2,2,1,4,4,2,2,2,4,2,2,2,2,2;1011,11,0111,01,11,0111,11,11,11,01,11,1,0110,0011,11,11,11,1011,11,11,11,11,11
2895;lick;-;UP;Herbie Hancock;-;-;-;-;-;-;69;49;2,2,2,2,2,1,2,1,2,2,2,3,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,4,4,2,2,2,4,1,2,1,1;11,01,01,01,11,1,01,1,01,01,01,011,01,11,11,01,01,11,1,01,1,11,01,01,11,11,1,01,11,01,1,11,11,01,01,01,11,11,1,1101,0001,01,11,01,1101,1,11,1,1
2896;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;12;7;2,4,1,2,6,2,2;01,0111,1,11,010101,01,01
2897;line;-;UP;Branford Marsalis;-;-;-;-;-;-;30;19;1,1,1,2,1,1,2,1,4,2,2,4,3,4,4,1,2,2,1;1,1,1,11,1,1,11,1,0011,11,11,0011,111,1011,0001,1,11,01,1
2898;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;7;3;2,2,5;01,11,01111
2899;line;-;MEDIUM;Hank Mobley;-;-;-;-;-;-;12;5;4,3,3,4,4;0001,011,011,1111,0111
2900;lick;-;MEDIUM;Clifford Brown;-;-;-;-;-;-;12;6;3,4,4,2,2,6;011,0001,0001,11,11,101011
2901;line;-;UP;Fats Navarro;-;-;-;-;-;-;30;16;3,2,2,1,2,2,4,2,2,2,2,2,3,2,1,3;111,11,01,1,11,11,0110,11,11,01,11,11,111,11,1,011
2902;line;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;10;4;4,1,3,6;0110,1,111,011110
2903;line;-;UP;Joe Lovano;-;-;-;-;-;-;22;14;2,2,2,3,1,2,2,3,3,2,2,1,1,2;11,01,11,110,1,11,01,011,011,11,01,1,1,11
2904;line;-;UP;Steve Coleman;-;-;-;-;-;-;29;16;2,2,2,2,2,2,4,4,1,1,2,2,2,2,2,2;11,11,11,11,11,11,1111,0001,1,1,11,11,11,01,01,11
2905;line;-;MEDIUM UP;Kenny Wheeler;-;-;-;-;-;-;21;9;3,3,1,4,3,1,4,1,4;011,111,1,1111,111,1,1111,1,0110
2906;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;18;13;2,4,1,2,2,2,1,2,2,2,2,1,2;01,0001,1,01,11,11,1,11,01,11,01,1,11
2907;lick;-;UP;Dizzy Gillespie;-;-;-;-;-;-;27;12;4,3,2,2,4,2,2,2,2,6,2,2;1110,111,11,11,1110,01,11,11,11,011110,01,11
2908;lick;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;4;2;2,2;11,11
2909;lick;-;UP;Wynton Marsalis;-;-;-;-;-;-;36;25;4,2,1,2,2,2,1,1,1,2,1,1,1,4,2,1,4,4,1,1,1,4,2,2,1;1011,11,1,01,11,11,1,1,1,11,1,1,1,0001,11,1,0001,0001,1,1,1,1101,11,11,1
2910;lick;-;UP;Kenny Dorham;-;-;-;-;-;-;26;16;2,2,2,4,2,2,2,2,3,2,1,1,2,2,4,2;01,11,11,1110,11,01,11,01,111,11,1,1,01,11,0001,01
2911;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;6;5;2,4,2,4,1;11,0001,01,0001,1
2912;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;6;3;1,4,3;1,1001,111
2913;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;31;10;4,4,4,2,4,6,2,2,6,7;0111,1111,1001,11,1111,001111,01,01,101111,1011011
2914;lick;-;UP;Stan Getz;-;-;-;-;-;-;20;15;3,1,1,2,1,2,2,2,2,1,2,1,1,1,2;111,1,1,01,1,11,01,11,01,1,01,1,1,1,11
2915;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;3;2,1,1;11,1,1
2916;line;-;UP;John Coltrane;-;-;-;-;-;-;2;1;2;11
2917;line;-;UP;John Coltrane;-;-;-;-;-;-;11;5;2,2,4,3,2;11,11,1011,011,11
2918;lick;-;UP;Michael Brecker;-;-;-;-;-;-;8;5;2,2,1,2,4;11,01,1,11,1001
2919;lick;-;MEDIUM;Woody Shaw;-;-;-;-;-;-;2;2;1,2;1,01
2920;line;-;MEDIUM;John Coltrane;-;-;-;-;-;-;11;3;6,1,6;111011,1,011111
2921;lick;-;MEDIUM;J.J. Johnson;-;-;-;-;-;-;13;6;2,2,2,3,2,4;11,01,11,111,11,1011
2922;line;-;UP;Joe Lovano;-;-;-;-;-;-;20;11;1,1,2,2,1,2,2,4,2,2,2;1,1,01,11,1,11,11,1111,11,11,11
2923;lick;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;3;2;2,1;11,1
2924;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;11;9;1,1,1,4,2,1,1,2,2;1,1,1,0001,11,1,1,01,11
2925;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;17;8;4,4,6,3,2,1,2,4;0011,1101,000001,111,11,1,11,0111
2926;lick;-;UP;Art Pepper;-;-;-;-;-;-;4;2;3,1;111,1
2927;lick;-;UP;Dizzy Gillespie;-;-;-;-;-;-;37;19;1,1,2,4,6,2,1,2,1,3,4,4,2,2,2,2,2,1,2;1,1,11,0111,111011,11,1,11,1,111,0011,0011,01,11,11,11,11,1,11
2928;line;-;UP;Miles Davis;-;-;-;-;-;-;21;11;2,2,1,3,2,2,2,3,2,2,2;11,11,1,011,11,11,11,011,11,11,11
2929;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;3;3;1,1,1;1,1,1
2930;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;11;5;1,2,2,4,4;1,11,01,1111,0111
2931;line;-;UP;John Coltrane;-;-;-;-;-;-;13;7;2,2,2,2,2,2,3;11,11,01,11,11,01,111
2932;lick;-;UP;Sonny Rollins;-;-;-;-;-;-;13;6;1,4,3,2,2,3;1,0111,111,11,01,111
2933;line;-;MEDIUM;Joshua Redman;-;-;-;-;-;-;31;10;3,3,3,3,4,5,4,3,3,3;110,111,111,111,1111,10111,1101,111,111,111
2934;lick;-;UP;Gerry Mulligan;-;-;-;-;-;-;7;4;1,2,2,2;1,11,11,11
2935;lick;-;MEDIUM;Branford Marsalis;-;-;-;-;-;-;29;19;2,4,4,4,6,1,4,4,1,1,1,1,2,1,2,2,1,4,4;01,0111,1001,1001,010011,1,0001,0001,1,1,1,1,01,1,01,01,1,1110,1011
2936;lick;-;UP;Hank Mobley;-;-;-;-;-;-;22;14;1,4,4,1,2,2,2,1,1,1,2,2,2,3;1,1011,0001,1,11,11,01,1,1,1,01,11,11,111
2937;line;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;7;4;2,1,2,3;11,1,11,110
2938;line;-;UP;Hank Mobley;-;-;-;-;-;-;13;9;1,3,4,1,2,1,1,1,1;1,011,1011,1,11,1,1,1,1
2939;line;-;UP;Michael Brecker;-;-;-;-;-;-;57;24;2,3,4,6,3,2,2,4,4,2,2,2,2,2,2,2,4,4,2,2,2,1,4,2;11,111,1011,111011,011,11,11,1100,0111,11,11,11,11,11,11,11,1111,1111,11,01,01,1,1111,11
2940;lick;-;UP;John Coltrane;-;-;-;-;-;-;27;18;1,4,1,2,3,2,2,2,1,2,4,1,1,3,6,4,1,4;1,0110,1,11,011,01,11,11,1,11,0011,1,1,011,100001,0001,1,0001
2941;line;-;UP;Sonny Rollins;-;-;-;-;-;-;29;14;1,2,2,4,4,2,2,2,2,1,2,2,2,2;1,11,11,1111,1011,11,11,11,11,1,11,11,11,11
2942;line;-;UP;John Coltrane;-;-;-;-;-;-;16;9;4,2,2,2,2,2,2,2,2;1001,11,11,11,11,11,01,01,11
2943;line;-;UP;David Liebman;-;-;-;-;-;-;25;18;1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,2,2,2;1,1,11,11,1,1,11,1,01,11,1,01,1,1,1,11,11,11
2944;lick;-;UP;Michael Brecker;-;-;-;-;-;-;21;11;2,4,4,2,2,2,1,3,2,2,2;01,1111,0001,11,11,11,1,111,11,11,01
2945;lick;-;MEDIUM UP;Hank Mobley;-;-;-;-;-;-;14;7;1,2,3,4,2,2,4;1,11,110,0110,11,11,0111
2946;lick;-;MEDIUM SLOW;Michael Brecker;-;-;-;-;-;-;11;3;3,5,4;111,01111,1111
2947;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;21;13;6,1,4,6,1,4,2,6,1,4,4,2,2;000001,1,1001,100011,1,1001,11,000001,1,1001,1001,01,11
2948;lick;-;UP;David Liebman;-;-;-;-;-;-;6;5;2,4,2,2,2;01,0001,01,11,01
2949;lick;-;UP;Pat Metheny;-;-;-;-;-;-;19;10;2,2,2,2,2,3,2,2,4,4;11,01,11,11,01,111,11,01,1011,1001
2950;line;-;UP;Joe Henderson;-;-;-;-;-;-;30;20;2,1,1,2,2,2,2,1,1,1,2,2,4,4,2,1,2,2,2,1;11,1,1,11,01,11,11,1,1,1,11,01,1001,0110,01,1,11,11,11,1
2951;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;4;3,2,2,2;011,11,11,11
2952;line;-;MEDIUM;Milt Jackson;-;-;-;-;-;-;23;8;4,4,4,4,3,4,1,4;1111,0111,0111,1110,111,1001,1,1111
2953;line;-;UP;John Coltrane;-;-;-;-;-;-;19;9;3,2,2,3,3,3,2,2,4;011,11,11,011,011,011,11,11,1101
2954;line;-;MEDIUM;Miles Davis;-;-;-;-;-;-;17;7;4,2,4,4,2,1,4;1100,11,1111,1111,11,1,1001
2955;line;-;UP;John Coltrane;-;-;-;-;-;-;16;8;2,3,2,4,3,2,1,2;01,011,11,1111,011,11,1,11
2956;line;-;UP;Lee Konitz;-;-;-;-;-;-;42;22;2,2,2,2,1,1,3,2,1,2,2,2,2,2,5,2,2,4,3,3,2,2;11,11,11,11,1,1,111,11,1,11,11,11,11,11,01001,11,11,0001,111,111,11,01
2957;line;-;MEDIUM UP;Bob Berg;-;-;-;-;-;-;46;14;4,4,4,4,4,4,3,4,4,4,4,4,1,3;1110,1111,0111,1111,1111,1111,111,1111,1111,1011,1001,1111,1,111
2958;lick;-;UP;Kai Winding;-;-;-;-;-;-;5;4;2,2,2,2;01,01,11,01
2959;lick;-;MEDIUM;Steve Lacy;-;-;-;-;-;-;23;15;2,2,2,1,2,4,2,1,2,2,2,7,2,1,1;01,01,11,1,01,1111,11,1,11,01,11,0001001,01,1,1
2960;lick;-;UP;Steve Coleman;-;-;-;-;-;-;18;10;2,1,2,2,4,4,2,1,4,2;11,1,01,11,1011,1011,01,1,1001,11
2961;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;38;22;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2;01,11,11,01,11,11,01,11,11,01,11,11,11,01,11,1,11,11,11,11,11,11
